"Time","Potential"
636.75,114.8
638.35,116.6
639.95,118.4
641.55,119.6
643.15,120.8
644.75,120.8
646.35,122.0
647.95,123.8
649.55,124.4
651.15,125.6
652.75,126.2
654.35,126.8
655.95,127.4
657.55,128.6
659.15,128.6
660.75,128.6
662.35,129.8
663.95,129.8
665.55,130.4
667.15,130.4
668.75,130.4
670.35,130.4
671.95,130.4
673.55,130.4
675.15,130.4
676.75,130.4
678.35,129.8
679.95,129.2
681.55,129.2
683.15,128.0
684.75,128.0
686.35,128.6
687.95,127.4
689.55,126.8
691.15,126.8
692.75,126.2
694.35,125.0
695.95,123.8
697.55,122.6
699.15,122.0
700.75,120.8
702.35,119.6
703.95,119.0
705.55,117.8
707.15,116.6
708.75,114.8
710.35,114.2
711.95,113.0
713.55,111.8
715.15,110.0
716.75,109.4
718.35,107.6
719.95,106.4
721.55,105.2
723.15,104.0
724.75,102.2
726.35,101.0
727.95,99.8
729.55,98.6
731.15,96.8
732.75,95.6
734.35,94.4
735.95,93.2
737.55,91.4
739.15,90.8
740.75,89.6
742.35,88.4
743.95,86.6
745.55,86.6
747.15,84.2
748.75,83.6
750.35,82.4
751.95,81.8
753.55,80.6
755.15,79.4
756.75,78.2
758.35,77.6
759.95,76.4
761.55,75.8
763.15,74.6
764.75,74.0
766.35,74.0
767.95,73.4
769.55,72.8
771.15,72.8
772.75,72.2
774.35,71.6
775.95,72.2
777.55,71.0
779.15,71.6
780.75,71.6
782.35,72.8
783.95,72.2
785.55,72.2
787.15,72.2
788.75,72.8
790.35,72.8
791.95,73.4
793.55,73.4
795.15,74.0
796.75,75.2
798.35,75.8
799.95,75.8
801.55,77.6
803.15,77.6
804.75,78.8
806.35,79.4
807.95,80.6
809.55,81.8
811.15,82.4
812.75,83.6
814.35,84.8
815.95,85.4
817.55,86.6
819.15,87.8
820.75,88.4
822.35,89.0
823.95,90.2
825.55,92.0
827.15,92.6
828.75,94.4
830.35,95.6
831.95,96.8
833.55,98.0
835.15,99.2
836.75,100.4
838.35,101.0
839.95,102.8
841.55,104.0
843.15,105.2
844.75,106.4
846.35,106.4
847.95,108.2
849.55,108.8
851.15,110.0
852.75,110.6
854.35,111.8
855.95,113.0
857.55,113.6
859.15,114.8
860.75,114.8
862.35,115.4
863.95,116.0
865.55,116.6
867.15,117.8
868.75,119.0
870.35,119.0
871.95,119.6
873.55,120.2
875.15,120.2
876.75,120.8
878.35,120.8
879.95,121.4
881.55,122.0
883.15,122.0
884.75,122.0
886.35,122.0
887.95,122.0
889.55,122.0
891.15,122.6
892.75,122.6
894.35,123.2
895.95,122.6
897.55,122.0
899.15,122.0
900.75,121.4
902.35,122.6
903.95,120.8
905.55,120.8
907.15,120.2
908.75,119.6
910.35,118.4
911.95,117.8
913.55,117.2
915.15,116.6
916.75,116.0
918.35,114.8
